income,gsv_apartments,gsv_commercial,gsv_greenery,gsv_historical,gsv_impervious,gsv_industrial,gsv_other,gsv_private,gsv_water,gsv_hue_mean,gsv_hue_std,gsv_hue_maj,gsv_saturation_mean,gsv_saturation_std,gsv_saturation_maj,gsv_brightness_mean,gsv_brightness_std,gsv_brightness_maj,gsv_entropy_mean,gsv_entropy_std,gsv_entropy_maj,gsv_std_mean,gsv_std_std,gsv_std_maj,gsv_contrast_mean,gsv_contrast_std,gsv_contrast_maj,gsv_dissimilarity_mean,gsv_dissimilarity_std,gsv_dissimilarity_maj,gsv_homogeneity_mean,gsv_homogeneity_std,gsv_homogeneity_maj,gsv_ASM_mean,gsv_ASM_std,gsv_ASM_maj,gsv_energy_mean,gsv_energy_std,gsv_energy_maj,gsv_correlation_mean,gsv_correlation_std,gsv_correlation_maj
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,1,1,0,0,0,0,0,0,0,94,83.442595,34,0.229158,0.01064,0.214171,0.600799,0.044722,0.5502,2.024916,0.114491,1.864123,0.229169,0.01817,0.208408,276.27696100000003,68.98054,179.267739,8.307475,1.610236,6.078707,0.305024,0.041886,0.260234,6.16e-4,7.9e-5,5.11e-4,0.024758,0.001612,0.022595,0.944152,0.021392,0.923048
00-20 low,1,2,0,0,0,0,0,0,0,153,79.904109,40,0.247737,0.026136,0.211643,0.533519,0.072543,0.459968,2.100721,0.017656,2.081626,0.238111,0.019161,0.212082,387.277206,66.475032,293.543597,11.115012,1.426579,9.118781,0.219448,0.022084,0.188768,3.36e-4,3.8e-5,2.93e-4,0.018306,0.001023,0.017122,0.941237,0.003242,0.937675
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,1,0,2,0,0,153.333333,82.269206,37,0.229582,0.035271,0.179807,0.794283,0.005348,0.78777,1.794545,0.09329,1.669992,0.165246,0.02046,0.140005,220.387643,33.988195,172.363205,7.306189,0.492567,6.643719,0.32028,0.033193,0.285639,8.6e-4,8.9e-5,7.91e-4,0.029285,0.001488,0.028128,0.914859,0.0262,0.891287
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,6,0,0,0,0,0,0,94.5,2.43242,92,0.383626,0.066366,0.321846,0.339121,0.072451,0.232978,1.802179,0.106451,1.631619,0.139912,0.014817,0.121055,275.244919,61.094784,192.620527,10.820869,1.04069,9.379289,0.138189,0.012058,0.118026,2.83e-4,2.2e-5,2.55e-4,0.016823,6.39e-4,0.015963,0.888958,0.017238,0.859303
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
