income,surface_structure_coherence_mean,surface_structure_disorderliness_mean,surface_roughness_disorderliness_mean,colour_saturation_mean,colour_hue_coherence_mean,colour_hue_disorderliness_mean,tcap_wetness_mean,tcap_greenness_std,nir_band_mean,colour_brightness_coherence_mean,colour_brightness_disorderliness_mean,ndwi_wetness_contrast_mean,ndwi_wetness_coherence_std,tcap_wetness_disorderliness_mean,tcap_built_coherence_std
31,0.794981898,4.303624559,1.407517071,153.3333333,0.227265836,6.793471693,-538.2288115,354.4796388,1322.490419,0.705677363,6.276343804,252.9514355,0.058556383,8.085468028,0.008114543
110,0.841643505,4.792064693,1.636420725,162.1112084,0.266449235,6.583454768,-682.4504463,670.1536156,1719.294658,0.707224816,5.727069879,365.4909231,0.044007869,8.084009492,0.025606461
176,0.671103768,3.588926574,1.629803662,155.3219293,0.306383009,6.754272398,-684.8442378,570.3321296,1478.024677,0.721243366,5.870793861,293.7756223,0.038718747,8.08524558,0.022299669
240,0.811079715,3.939837131,1.44516547,155.6051345,0.215441239,6.566610883,-685.1531401,569.0060633,1649.305623,0.715219502,5.870178909,340.037622,0.020248396,8.085906086,0.051504044
380,0.753984285,4.87301075,1.196817134,182.5419708,0.235417197,6.652010195,-655.2442339,586.4626045,1865.715325,0.686474951,5.616488827,320.1198118,0.02674369,8.085953909,0.016186051
389,0.826739648,4.752524857,1.059568014,185.654902,0.260890874,6.865474793,-92.53612512,729.0721304,1666.31764,0.674207915,5.687108245,420.794032,0.02364359,8.087085029,0.020143274
394,0.773962985,4.434306815,0.408985998,173.4070248,0.406654532,6.36874372,-413.5936569,481.4418268,2119.079546,0.80804211,5.116422303,182.326123,0.02906177,8.081626103,0.03537569
396,0.733226665,4.621389809,0.22969312,166.868443,0.353563349,6.466782337,-807.2717396,387.4630241,2086.94172,0.682552769,5.099438332,217.3463354,0.019927026,8.08155061,0.032074404
396,0.836096339,4.961357546,0.881968373,159.3811765,0.215047594,6.546543014,-636.6984335,501.2772506,1893.52706,0.628355796,4.903554958,254.7610868,0.031141087,8.077496296,0.025357759
403,0.77335154,5.131805259,0.89845158,163.1768116,0.250083123,6.784362086,-326.8717059,534.1762892,1325.524645,0.651152895,5.597107327,400.2215371,0.015945466,8.083087535,0.028527332
404,0.779815697,4.824208735,0.651846715,176.9843972,0.309375804,6.777987744,-530.1567364,906.4996465,2286.963119,0.701559631,5.417970479,357.1620734,0.041639544,8.08370572,0.0295953
407,0.781828313,4.554714501,0.262260087,172.9137056,0.484197936,6.661483309,-494.8531506,560.7335287,1813.32741,0.706062617,5.266173908,250.4611231,0.023918282,8.081539599,0.013069854
416,0.764878645,4.824500559,0.750283188,174.1944444,0.179455824,6.765769398,-872.8841555,419.7738937,1697.031248,0.659349719,5.422668621,351.2517252,0.03798913,8.082807091,0.022785312
417,0.749748523,4.51797311,0.336858931,175.8638941,0.310712628,6.432957614,-411.3398555,537.6112312,1787.419667,0.738865247,5.055306239,294.8424971,0.018688445,8.08481145,0.020809286
417,0.800190879,6.094217141,1.192975497,164.0843278,0.253757937,6.63633499,-752.9627647,839.0459291,1856.083928,0.783184024,5.403633089,255.9472935,0.021242285,8.082571145,0.019237066
419,0.824450383,4.232770461,0.764678092,170.9967949,0.285511434,6.865902594,-320.7417879,867.491421,2013.916665,0.656058847,5.482633081,416.8382654,0.016635225,8.086261195,0.018379122
421,0.754325609,4.101954299,0.091941016,181.2816545,0.64236427,6.351125677,-235.8926686,903.7917964,2468.367755,0.701463265,4.511454479,288.9986367,0.080375265,8.054564994,0.095989139
422,0.82623296,4.017286687,0.806038866,168.5449915,0.249275796,6.840732245,-689.4130264,672.8442999,1712.736842,0.724210641,5.823676814,327.5658081,0.021882871,8.085708571,0.011116867
425,0.697008895,3.556305159,0.15276988,187.3453824,0.554413668,5.767411501,-194.5556918,670.3650213,2372.181729,0.794847775,3.771814569,110.4267033,0.071248362,8.075807583,0.057887318
431,0.7252409,4.178315551,0.150537695,164.5787037,0.313649674,6.658147236,-288.5012033,803.5600631,2221.916668,0.754288464,5.24765067,302.3240383,0.025865083,8.082700851,0.03375077
432,0.847333878,4.648065817,0.815439361,181.9278937,0.282667016,6.801089311,-296.0163616,850.2033581,2260.113857,0.681745415,5.342306162,390.6845022,0.042188162,8.08553673,0.036991873
436,0.767508994,4.551395743,0.248079811,167.1488,0.443078207,6.492176011,-420.0429865,551.2498363,2160.892803,0.676849215,4.793743498,221.821854,0.035736487,8.080713217,0.034477776
438,0.822667021,4.757445768,1.235547151,164.4489311,0.281571311,6.877674711,-481.9290228,893.9245078,1736.268409,0.719414254,5.875977193,344.0958327,0.013081185,8.084796696,0.008701738
439,0.684434775,4.491296984,0.138547666,175.7934066,0.165814427,6.635264774,-645.8758183,501.9728349,2034.817034,0.657521826,4.942392951,246.5698656,0.043538364,8.080023544,0.040971946
442,0.691904378,4.752978695,0.077318586,173.7581699,0.23479528,6.420139431,-587.6307077,805.4488811,2306.801844,0.793727931,5.204432972,248.6435625,0.066087991,8.08039932,0.036439771
444,0.754383531,4.273613554,0.181514017,180.0231214,0.274164228,6.335356168,-445.2895827,359.2071076,1770.653181,0.726615921,4.290997396,203.5350339,0.047625526,8.079399577,0.044630835
444,0.814304304,4.850138469,0.444845973,165.6936672,0.329827286,6.678357534,-484.6193264,745.0377272,2331.599414,0.685489251,5.420033766,330.1396534,0.013481398,8.081187765,0.019866294
446,0.673785977,4.721053395,0.156019175,181.7925387,0.312379662,6.286746012,-773.5404838,714.5885037,3129.60828,0.709121829,4.628027649,150.0127823,0.04580524,8.079270302,0.056701236
450,0.690080476,5.385964932,0.385728886,166.4230769,0.258870759,6.26578795,-694.7825235,487.986785,1756.862174,0.576272504,5.165855489,225.859228,0.023491833,8.081256983,0.01411804
452,0.82165537,4.50520714,0.591172426,175.1968912,0.384236619,6.543470312,-535.8893668,497.1593316,1781.792748,0.63917879,5.221313014,262.5071583,0.014524298,8.081773806,0.01802647
459,0.784337495,4.153226446,0.204192569,178.2325915,0.452364324,6.686069701,-480.2921284,453.4757431,2069.160086,0.72611233,4.759568269,150.6937309,0.056483112,8.083513686,0.059336914
461,0.770013254,3.883552974,0.766469463,162.285533,0.250601938,6.571351881,-682.9587546,437.8043422,1671.758883,0.557352323,5.703476707,400.0524154,0.034193566,8.082536295,0.060514519
462,0.798857564,4.41406999,0.876951668,158.0366133,0.435522561,6.68549558,-265.3668254,180.4823776,1038.723112,0.70380932,5.466344249,301.9413117,0.039823794,8.07013497,0.050083946
462,0.738471076,5.424496955,0.852121034,176.80114,0.270137122,6.351712952,-591.3375936,474.0274474,1978.219127,0.687763942,5.24198439,278.1155411,0.066176095,8.080145475,0.067006578
462,0.776144761,4.868455476,0.577073433,177.8702046,0.236713904,6.706710574,-453.0023121,704.2340482,1995.510232,0.682957823,4.816915412,282.7911619,0.046617465,8.082882242,0.035602135
462,0.74633325,3.690430207,0.103936551,166.6655232,0.237175094,6.508988847,-576.0553096,419.9825962,1839.269291,0.638321593,4.655129759,200.4243125,0.013612577,8.078460656,0.018757032
463,0.613278839,5.622839377,0.867065013,162.4064039,0.200006238,6.83595254,-749.0709643,529.5298188,1884.125615,0.643451496,5.908943399,364.5890827,0.016968477,8.083932695,0.028955118
464,0.808844059,4.849601962,0.324046801,177.2308849,0.552926571,6.557588111,-543.6502272,893.8090945,2791.233894,0.668203057,4.828400867,182.4951881,0.047626031,8.082429892,0.079335489
466,0.833932749,5.309979231,0.672530296,164.8252912,0.292875272,6.478834139,-771.9596869,397.493253,1847.767887,0.62555251,5.198836501,232.5110163,0.041649256,8.080985468,0.041192848
468,0.757101243,4.81426578,0.247992173,173.0572034,0.349575188,6.373485104,-627.4213062,499.7178402,2183.881359,0.706991282,5.098042777,229.4541401,0.029602438,8.082866052,0.02372306
474,0.733902681,5.495306169,0.852944771,175.9802233,0.377477457,6.155624458,-600.6208684,1044.678686,2210.466149,0.819660669,5.258179044,163.5270227,0.06575424,8.08367732,0.042217233
474,0.771356166,4.096802591,0.195304794,171.9915459,0.414108436,6.464136392,-580.6134115,471.912254,2124.829707,0.649502798,5.110026698,186.3108485,0.035837921,8.083297636,0.060025918
477,0.809425282,5.353019791,0.758332093,171.4161641,0.156147778,6.566660001,-663.9698651,458.5699448,2126.00603,0.564259483,5.02097482,279.8574086,0.064424675,8.078744298,0.026541876
477,0.741609785,4.319836678,0.160664214,170.7564187,0.339748866,6.52089385,-491.0729637,484.1499533,2139.817647,0.693034935,4.964682139,206.7543961,0.038351506,8.081166987,0.043348831
479,0.714143561,5.289179492,0.209032719,175.7450077,0.210163575,6.733581512,-691.6553567,631.9996163,2223.517664,0.598995913,4.80932123,244.5436422,0.051844524,8.08116076,0.027698363
481,0.772638484,3.936592696,0.693905545,160.8943396,0.357530011,6.566105705,-762.1195054,434.709442,1659.018867,0.673398498,5.349956711,274.9657172,0.016232483,8.084029439,0.021167012
481,0.777136969,5.008836909,0.160268932,169.9962406,0.222565419,6.341096632,-695.5168113,439.9169617,1766.578949,0.666963602,5.049999258,243.5499619,0.038582022,8.081753524,0.012896345
483,0.720651399,3.587055728,0.283569527,181.75,0.496946048,6.234619666,-359.0980203,767.1080502,2205.07776,0.818901136,4.783153626,148.9134937,0.031534482,8.082826767,0.048651915
486,0.762674327,4.372330348,0.194484229,165.7569061,0.272101331,6.415716043,-833.1242949,433.0938038,2059.639777,0.665419785,5.271627512,205.6832497,0.016435279,8.083960791,0.039189863
489,0.731352948,4.818425028,0.315514954,185.8059385,0.387612873,6.315947247,-501.0972679,653.7651952,2436.109887,0.768610285,4.598000921,142.5867289,0.077743091,8.081527568,0.054554467
489,0.675506504,4.794281728,0.216304861,184.3505583,0.440940169,6.092323471,-643.0825951,931.7058087,2278.493703,0.844409105,4.759022215,218.6041965,0.053754636,8.075073728,0.060237972
490,0.779648548,3.941973074,0.570953791,174.0263158,0.369765513,6.802399875,-300.5907563,683.3726743,1961.424809,0.69699631,5.342058103,363.8743578,0.041443841,8.085821077,0.024224485
490,0.679310677,4.274899751,0.167876333,179.9558701,0.195069367,6.551637238,-468.0179999,629.0364831,2051.35762,0.630562252,4.739986371,243.0109104,0.023094169,8.081596525,0.024748302
492,0.782761482,4.253428293,0.184613277,172.7359851,0.42570499,6.283598452,-376.5487671,763.1207492,2215.194698,0.805389729,4.50839161,186.194139,0.044769244,8.082248685,0.052056369
493,0.716541485,3.766351513,0.597305318,162.8041667,0.311601723,6.882117576,-436.2518394,550.9776586,1840.458336,0.596589535,5.545788916,463.8475774,0.026080401,8.082872836,0.018441634
495,0.700744246,4.937403074,0.317209951,180.2599493,0.440623327,6.604822934,-533.3295615,859.2531133,2275.722908,0.793058853,4.744353547,236.5876881,0.054102452,8.071302165,0.054470496
496,0.785100714,4.43741459,0.481896083,164.7979798,0.217355988,6.300545784,-479.2672309,418.2241999,1563.515152,0.623741759,5.239287438,242.1024867,0.038973006,8.081865637,0.010595068
506,0.784374535,5.949725298,0.970099132,179.0473934,0.306846141,6.618869992,-623.6712971,848.5608994,2224.976306,0.68498217,4.87469878,233.3035715,0.057344834,8.082031203,0.021013203
519,0.773986313,7.366501313,2.270284425,176.338382,0.261291992,6.197922374,-1125.708987,1042.297297,2159.819357,0.806148665,5.488399001,261.9638457,0.105049068,8.083073102,0.08751773
521,0.623526877,4.396294921,0.075631155,178.8774056,0.49902908,6.595721049,-589.6500649,646.532772,2335.917626,0.800536095,4.522997436,161.7856596,0.072066321,8.07685954,0.07733292
525,0.752421142,4.849189496,0.181123042,167.8065268,0.344851762,6.392981789,-585.6974171,528.6072689,2192.845573,0.680456587,5.065881577,222.1270361,0.02519358,8.080523888,0.023751722
527,0.72560594,3.851403447,1.377723526,146.1278195,0.319174887,7.11533475,-438.8797815,366.8644795,1255.669178,0.730318904,6.200309,310.8205384,0.040614315,8.085635842,0.027523145
528,0.685338303,4.85046506,0.061387674,177.1406908,0.216299215,6.37591655,-591.650729,452.7036303,2029.192082,0.654287717,4.446526063,174.294929,0.046969316,8.07570393,0.045686995
531,0.844857085,5.49528324,1.130050328,168.326087,0.331852696,6.22134114,-848.4758894,597.8501146,1867.772416,0.725167962,5.600935713,249.7184182,0.081399044,8.082135955,0.047797243
536,0.750777766,4.392964159,0.230135883,163.0344608,0.279290269,6.725558278,-526.7148636,663.2968958,2222.471598,0.61695066,5.286324921,280.8299776,0.048896331,8.081164348,0.035359255
537,0.749794537,5.313945156,0.332512582,182.3000661,0.398625295,6.245433958,-521.8282955,594.0921433,2265.111368,0.748781736,4.724291653,178.5250596,0.060343136,8.078497861,0.054679016
537,0.748269174,5.321164301,0.370014413,167.5577631,0.373390725,6.540563651,-826.4530661,942.6508369,2262.33223,0.707189595,5.147630993,258.2821492,0.058934796,8.082212366,0.020183663
543,0.863510931,4.551204793,1.204580563,161.2270451,0.300982115,6.643913635,-542.4581677,435.6546603,1644.811352,0.622677771,5.622815069,351.3434229,0.061451476,8.081994079,0.0784508
543,0.800696562,4.869053471,0.828950924,160.6648936,0.249465701,6.796503639,-665.346993,624.095846,1841.88032,0.66872172,5.535545371,451.732034,0.020850668,8.084352866,0.038643602
547,0.720026555,5.08389847,0.210292247,173.3552743,0.261377306,6.414512319,-550.3282307,543.7661214,2001.06498,0.718593185,4.890398999,222.5698786,0.077474651,8.080404009,0.031745247
553,0.795545155,6.513098725,1.6111432,166.9846827,0.174728474,6.557652985,-847.7890275,526.2021698,1990.965716,0.626667361,5.16268581,277.1236469,0.017424706,8.081562825,0.010844145
556,0.752361322,5.293865082,0.570015367,168.7893891,0.383981668,6.479060477,-700.4662034,430.1206442,1991.786979,0.6049716,4.992007997,202.1927987,0.030763498,8.08245921,0.038005943
556,0.757038237,4.577076412,0.121181751,173.3671875,0.342588353,6.410029092,-613.8877651,564.3275938,2133.691841,0.70796576,4.791858487,182.796208,0.047362789,8.082566341,0.059405842
558,0.726555672,4.970527555,0.134547792,165.7027942,0.316270793,6.640509563,-575.6678201,534.8379448,2141.084672,0.647360818,4.899682771,224.7769912,0.029553389,8.079756022,0.038898643
569,0.688735871,5.227123435,0.357650648,175.8063063,0.211964519,6.317152987,-623.1794012,549.425854,2044.51013,0.77000491,5.087002486,231.832431,0.072020649,8.077567137,0.079040389
575,0.748024134,6.006771855,0.775178226,169.6600186,0.203241017,6.683420467,-653.2929034,576.3469398,1993.971709,0.657788416,4.984811695,270.9808106,0.026172141,8.081728903,0.036157976
582,0.743373293,3.71390096,1.282845762,161.7628458,0.353316692,7.025352192,-677.464375,493.4807502,1338.288535,0.673045007,6.096138004,326.6530142,0.020659206,8.087011677,0.036076923
585,0.787888791,4.560688599,0.686243904,159.880597,0.246472031,6.795618043,-645.6449358,536.3678789,1768.287846,0.604966561,5.451258609,448.4289133,0.015966456,8.085137977,0.032095449
593,0.716885774,4.617619727,0.22281295,179.2087843,0.406591438,6.199164006,-740.3204,1050.470482,2704.819086,0.826741358,4.811581372,186.6157735,0.05509805,8.075616228,0.056527994
599,0.705432659,4.764353496,0.216511598,174.7154176,0.186751355,6.473910215,-787.0770599,602.3670851,1942.860018,0.76409298,5.124868757,214.7861862,0.042012487,8.081573698,0.036443217
612,0.812563133,4.777700974,1.229304571,177.8321168,0.311552671,6.963558479,-546.0141807,507.4658064,1910.963502,0.672989539,5.781106543,304.667274,0.015189465,8.081927171,0.015943295
612,0.694608533,4.448180074,0.086234105,183.6198943,0.254898668,6.222536346,-612.4156573,469.9230939,2082.022583,0.680707262,4.628661199,206.8428331,0.041133186,8.081163355,0.059032986
618,0.748529402,4.714055526,0.375468432,178.9802118,0.348213553,6.551650795,-504.919535,748.7985752,2086.976567,0.762429229,5.013998384,234.8349185,0.046632209,8.084276813,0.043158812
620,0.713105659,5.04411106,0.281371186,180.9012926,0.38789545,6.441035171,-531.9412223,624.4849896,2253.765177,0.732170023,4.87636958,213.9082233,0.061033443,8.081657668,0.078053469
624,0.715083748,5.824215866,0.514740557,174.7142857,0.224107112,6.35804167,-662.2664706,439.881712,2046.481399,0.60232304,4.670100858,227.832878,0.070589006,8.077437534,0.048215193
624,0.7135504,5.110319218,0.351254783,180.9915512,0.214357104,6.342230547,-547.7820542,657.2723367,2084.222373,0.782182732,4.756683727,230.8204172,0.091660008,8.081623089,0.086402326
626,0.744636985,4.176516897,0.457910645,159.376506,0.250004173,6.332470278,-713.7496778,403.4704423,1355.162651,0.689346986,5.684599769,194.9923226,0.008134107,8.083523959,0.011686639
627,0.677103512,4.337752426,0.091756398,184.8368649,0.437432487,6.257981009,-596.1945317,701.0423011,2711.611184,0.762196748,4.587809754,125.917587,0.060603419,8.081646805,0.030322047
628,0.730085869,5.137173299,0.253087014,173.386059,0.331469907,6.358618146,-592.4899587,472.6351623,1849.456658,0.698154874,5.078374094,248.9241161,0.069401665,8.080023039,0.065141172
630,0.71280511,4.892366594,0.170849835,181.5438898,0.204246203,6.389539886,-694.4732307,540.3244314,2116.459554,0.71194999,5.052693582,178.8455379,0.056933621,8.080101567,0.059654464
632,0.657151185,4.480585125,0.054383853,183.6374459,0.436848693,6.302439062,-738.096326,453.5501087,2083.101731,0.636684239,4.754173759,172.2824306,0.0674075,8.07941591,0.047592457
632,0.712754173,3.667365644,0.510242228,189.0500911,0.304673211,6.29791643,-212.2357206,605.006,2034.129333,0.753930885,4.905180526,254.5810997,0.026240208,8.082048597,0.021727611
633,0.741327427,4.792565753,0.272524092,180.3101105,0.25321851,6.5375977,-473.3081962,709.407622,1968.686916,0.71863726,4.803589095,258.1532949,0.074704053,8.08206586,0.073195607
633,0.672937729,4.785222586,0.145566483,175.4788341,0.24987472,6.420232852,-666.8606224,577.5494966,2298.804649,0.628531637,4.510695458,162.1261959,0.040050349,8.079273928,0.039684979
634,0.743505326,3.893312013,0.139196921,171.1675734,0.318036785,6.633694239,-354.738339,658.9094769,1898.774758,0.742022521,4.696397677,229.5545328,0.018900524,8.083967386,0.011880633
635,0.641979129,4.589712637,0.137390713,179.479798,0.206939135,6.451817001,-531.6882097,501.0966596,1700.428031,0.692325398,4.880450591,210.1671515,0.050221271,8.08112758,0.017857883
635,0.640940114,5.732015626,0.496942009,167.1279847,0.165122059,6.477458399,-830.3519914,469.9074919,1910.903535,0.551935917,5.217037884,251.8645574,0.022861781,8.082664096,0.017784594
638,0.710478162,3.820014793,0.283758423,167.9376812,0.276992096,6.308608634,-1019.333329,483.6795413,1958.276815,0.61890928,5.372115511,222.3843425,0.046205411,8.082791886,0.019743148
644,0.635612334,4.523080048,0.137561934,173.1537168,0.283419011,6.683049499,-670.1214356,582.0673188,2178.616213,0.721850674,4.833929908,218.7707648,0.071296515,8.080962079,0.05431622
649,0.820499817,6.020264398,1.731072305,172.4156844,0.357975527,6.338498295,-718.8809445,1157.833863,1988.004572,0.856793514,5.382762019,160.7431364,0.07383041,8.081235887,0.034917785
653,0.741040978,3.784790292,0.059343447,186.4864662,0.712538742,6.289658487,-229.8985047,605.0553738,1999.384461,0.809917375,3.592981278,204.2974658,0.0534166,8.007647951,0.081696095
653,0.70158932,5.750754645,0.582856078,171.0732411,0.223471958,6.54842448,-720.3774802,539.3336003,1849.26759,0.735139177,5.283114896,290.3790238,0.06055027,8.081620762,0.065052997
653,0.740818642,4.845847029,0.333253848,174.0612245,0.221505924,6.532901991,-580.0367001,485.4786067,1641.754027,0.687580376,4.649977159,231.7690912,0.087299157,8.081978329,0.037755041
654,0.708942966,4.871946878,0.5686639,163.3228546,0.266813416,6.387584558,-650.2845091,735.2402158,1767.194131,0.833599006,5.412052764,240.1472475,0.0313289,8.080616777,0.040113594
